zone_id,SD,ZONE,COUNTY,AGREMPN,FPSEMPN,HEREMPN,RETEMPN,TOTEMP,MWTEMPN,OTHEMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,SHPOP62P,TOTHH,GQPOP,MFDU,SFDU,CIACRE_UNWEIGHTED,RESACRE_UNWEIGHTED,CIACRE,RESACRE,TOTACRE,HHPOP,TOTPOP,EMPRES,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,total_job_spaces,total_residential_units
1392,31,1392,8,215.0,145.0,138.0,54.0,1003.0,275.0,176.0,405.0,464.0,381.0,338.0,0.218,1588.0,2,221.0,2151.0,3206.27087922,4278.48786745,402.0,3592.0,10141.0,3636.0,3638.0,1974.0,146.0,613.0,972.0,1373.0,534.0,1179.0,2372.0
1393,31,1393,8,98.0,91.0,194.0,65.0,969.0,365.0,156.0,394.0,450.0,307.0,254.0,0.191,1405.0,33,156.0,1673.0,5182.47833342,3637.15545184,302.000000001,1896.0,11502.0,3159.0,3192.0,1788.0,144.0,597.0,869.0,1190.0,392.0,1269.0,1829.0
1394,31,1394,8,410.0,190.0,376.0,31.0,1350.0,122.0,221.0,473.0,784.0,758.0,624.0,0.119,2639.0,60,152.0,3208.0,3878.73648882,1886.2679035,821.0,2745.0,7847.0,8633.0,8693.0,4197.0,662.0,2169.0,3147.0,2057.0,658.0,1524.0,3360.0
1395,31,1395,8,63.0,547.0,652.0,504.0,3325.0,452.0,1107.0,1006.0,775.0,640.0,487.0,0.223,2908.0,23,1270.0,2005.0,571.492562487,675.297690249,411.0,911.0,1718.0,8253.0,8276.0,3450.0,656.0,1728.0,2618.0,1866.0,1408.0,3981.0,3275.0
1396,31,1396,8,45.0,383.0,716.0,278.0,1957.0,197.0,338.0,583.0,791.0,994.0,911.0,0.194,3279.0,18,193.0,3635.0,5910.45296271,2103.84396407,172.0,2471.0,15393.0,9362.0,9380.0,4152.0,779.0,2132.0,2983.0,2135.0,1351.0,2371.0,3828.0
1397,31,1397,8,158.0,362.0,133.0,317.0,1839.0,345.0,524.0,619.0,645.0,401.0,357.0,0.282,2022.0,164,310.0,2149.0,8639.43952737,2445.3019212,1244.0,3065.0,16208.0,4983.0,5147.0,2214.0,219.0,903.0,1375.0,1538.0,1112.0,1929.0,2459.0
1398,31,1398,8,27.0,122.0,358.0,173.0,2139.0,55.0,1404.0,342.0,460.0,342.0,246.0,0.241,1390.0,0,251.0,1455.0,84.3955416495,494.019423856,77.0,614.0,807.0,3341.0,3341.0,1517.0,158.0,671.0,875.0,1049.0,588.0,1986.0,1706.0
1399,31,1399,8,69.0,630.0,1597.0,987.0,5612.0,1510.0,819.0,430.0,432.0,316.0,170.0,0.156,1348.0,54,626.0,1038.0,325.948850401,229.219921537,499.0,266.0,791.0,3774.0,3828.0,1680.0,324.0,878.0,1376.0,825.0,425.0,5480.0,1664.0
1400,31,1400,8,503.0,143.0,216.0,45.0,1296.0,286.0,103.0,132.0,232.0,242.0,388.0,0.218,994.0,82,122.0,1271.0,22325.0351183,4165.51079534,1309.00000002,3366.0,55176.0,2328.0,2410.0,1545.0,121.0,411.0,644.0,876.0,358.0,1675.0,1393.0
1401,31,1401,8,942.0,177.0,880.0,85.0,2911.0,690.0,137.0,245.0,363.0,329.0,298.0,0.204,1235.0,103,262.0,1488.0,61005.1350336,4602.3492145,2348.0,3682.0,142961.0,3217.0,3320.0,2034.0,163.0,623.0,1009.0,1055.0,470.0,3755.0,1750.0
1402,31,1402,8,86.0,289.0,649.0,236.0,2565.0,575.0,730.0,1467.0,846.0,658.0,524.0,0.232,3495.0,112,983.0,3490.0,24454.8149502,2301.96335571,1688.0,3209.50803268,53379.0,9326.0,9438.0,3557.0,613.0,1953.0,2881.0,2334.0,1657.0,3089.0,4473.0
1403,31,1403,8,39.0,112.0,504.0,51.0,1104.0,68.0,330.0,503.0,533.0,393.0,310.0,0.291,1739.0,111,418.0,3625.0,52272.8412109,15761.0990899,1278.00000005,12859.0,280405.0,3557.0,3668.0,1172.0,137.0,476.0,810.0,1473.0,772.0,1406.0,4043.0
1404,32,1404,9,2.0,201.0,103.0,34.0,450.0,50.0,60.0,115.0,216.0,227.0,466.0,0.243,1024.0,0,28.0,1078.0,1422.49000139,1164.31336302,858.0,1047.0,7265.0,2513.0,2513.0,1087.0,106.0,453.0,490.0,1053.0,411.0,500.0,1106.0
1405,32,1405,9,5.0,323.0,1069.0,1008.0,3145.0,64.0,676.0,170.0,278.0,302.0,233.0,0.227,983.0,1,129.0,944.0,330.52603014,728.512938779,189.0,518.0,2603.0,2596.0,2597.0,830.0,117.0,539.0,668.0,859.0,414.0,3524.0,1073.0
1406,32,1406,9,2.0,322.0,151.0,124.0,1316.0,268.0,449.0,73.0,124.0,161.0,294.0,0.325,652.0,4,6.0,701.0,72.7265648122,177.73297705,97.0,205.0,2559.0,1505.0,1509.0,547.0,41.0,235.0,315.0,546.0,372.0,1410.0,707.0
1407,32,1407,9,35.0,1063.0,555.0,142.0,3018.0,321.0,902.0,828.0,752.0,490.0,512.0,0.271,2582.0,98,1663.0,1107.0,178.183824576,403.357018346,506.0,745.0,2370.0,6593.0,6691.0,2139.0,486.0,1076.0,2388.0,1285.0,1456.0,3350.0,2770.0
1408,32,1408,9,5.0,170.0,255.0,47.0,798.0,18.0,303.0,361.0,604.0,555.0,811.0,0.305,2331.0,7,659.0,1818.0,563.603967913,764.401227909,54.0,824.0,4314.0,5643.0,5650.0,1806.0,241.0,854.0,1448.0,1787.0,1320.0,982.0,2477.0
1409,32,1409,9,4.0,439.0,733.0,256.0,1790.0,153.0,205.0,593.0,769.0,782.0,818.0,0.263,2962.0,30,685.0,2458.0,161.996836314,732.817893911,268.0,656.0,1468.0,7625.0,7655.0,2447.0,389.0,1451.0,1992.0,2322.0,1501.0,2148.0,3143.0
