TAZ,TAZ1454
2420,1088.0
2419,1087.0
2422,1090.0
2421,1089.0
2415,1083.0
2414,1082.0
2416,1084.0
2418,1086.0
2417,1085.0
2411,1079.0
2410,1078.0
2409,1077.0
2408,1076.0
2406,1074.0
2413,1081.0
2412,1080.0
2401,1069.0
2400,1068.0
2402,1070.0
2403,1071.0
2405,1073.0
2404,1072.0
2399,1067.0
2398,1066.0
2407,1075.0
2386,1054.0
2387,1055.0
2397,1065.0
2396,1064.0
2388,1056.0
2389,1057.0
2395,1063.0
2393,1061.0
2394,1062.0
2392,1060.0
2391,1059.0
2390,1058.0
2382,1050.0
2381,1049.0
2385,1053.0
2377,1045.0
2384,1052.0
2383,1051.0
2379,1047.0
2380,1048.0
2373,1041.0
2372,1040.0
2378,1046.0
2374,1042.0
2375,1043.0
2376,1044.0
2736,1404.0
2737,1405.0
2745,1413.0
2744,1412.0
2746,1414.0
2743,1411.0
2741,1409.0
2742,1410.0
2740,1408.0
2738,1406.0
2739,1407.0
2756,1424.0
2757,1425.0
2755,1423.0
2754,1422.0
2753,1421.0
2763,1431.0
2759,1427.0
2758,1426.0
2762,1430.0
2761,1429.0
2760,1428.0
2750,1418.0
2766,1434.0
2751,1419.0
2752,1420.0
2765,1433.0
2764,1432.0
2767,1435.0
2749,1417.0
2768,1436.0
2769,1437.0
2772,1440.0
2773,1441.0
2770,1438.0
2771,1439.0
2779,1447.0
2777,1445.0
2778,1446.0
2776,1444.0
2774,1442.0
2775,1443.0
2784,1452.0
2782,1450.0
2783,1451.0
2781,1449.0
2780,1448.0
2785,1453.0
2748,1416.0
2747,1415.0
2633,1301.0
2631,1299.0
2632,1300.0
2627,1295.0
2628,1296.0
2637,1305.0
2629,1297.0
2630,1298.0
2638,1306.0
2636,1304.0
2639,1307.0
2635,1303.0
2634,1302.0
2625,1293.0
2626,1294.0
2624,1292.0
2623,1291.0
2640,1308.0
2641,1309.0
2642,1310.0
2643,1311.0
2647,1315.0
2646,1314.0
2645,1313.0
2644,1312.0
2648,1316.0
2649,1317.0
1741,41.0
1740,40.0
1739,39.0
1738,38.0
1737,37.0
1736,36.0
1735,35.0
1734,34.0
1733,33.0
1732,32.0
1728,28.0
1727,27.0
1725,25.0
1724,24.0
1726,26.0
1729,29.0
1731,31.0
1706,6.0
1730,30.0
1707,7.0
1709,9.0
1708,8.0
1743,43.0
1751,51.0
1750,50.0
1744,44.0
1745,45.0
1746,46.0
1749,49.0
1771,71.0
1748,48.0
1747,47.0
1775,75.0
1773,73.0
1772,72.0
1770,70.0
1774,74.0
1768,68.0
1769,69.0
1786,86.0
1777,77.0
1776,76.0
1778,78.0
1779,79.0
1780,80.0
1785,85.0
1787,87.0
1788,88.0
1784,84.0
1781,81.0
1782,82.0
1783,83.0
1789,89.0
1807,107.0
1742,42.0
1806,106.0
1805,105.0
1804,104.0
1793,93.0
1794,94.0
1803,103.0
1802,102.0
1801,101.0
1800,100.0
1799,99.0
1798,98.0
1795,95.0
1796,96.0
1797,97.0
1828,128.0
1829,129.0
1830,130.0
1827,127.0
1811,111.0
1814,114.0
1812,112.0
1813,113.0
1816,116.0
1815,115.0
1817,117.0
1818,118.0
1819,119.0
1820,120.0
1839,139.0
1841,141.0
1840,140.0
1843,143.0
1844,144.0
1845,145.0
1847,147.0
1850,150.0
1848,148.0
1821,121.0
1822,122.0
1823,123.0
1824,124.0
1825,125.0
1826,126.0
1834,134.0
1837,137.0
1838,138.0
1851,151.0
1852,152.0
1835,135.0
1836,136.0
1860,160.0
1861,161.0
1865,165.0
1864,164.0
1862,162.0
1859,159.0
1863,163.0
1855,155.0
1853,153.0
1854,154.0
1856,156.0
1790,90.0
1791,91.0
1876,176.0
1875,175.0
1874,174.0
1873,173.0
1872,172.0
1792,92.0
1871,171.0
1831,131.0
1870,170.0
1869,169.0
1832,132.0
1833,133.0
1866,166.0
1868,168.0
1867,167.0
1877,177.0
1878,178.0
1885,185.0
1884,184.0
1886,186.0
1887,187.0
1888,188.0
1889,189.0
1879,179.0
1881,181.0
1880,180.0
1883,183.0
1882,182.0
1766,66.0
1765,65.0
1762,62.0
1758,58.0
1757,57.0
1767,67.0
1764,64.0
1763,63.0
1761,61.0
1760,60.0
1759,59.0
1754,54.0
1755,55.0
1752,52.0
1756,56.0
1753,53.0
1858,158.0
1857,157.0
1846,146.0
1842,142.0
1849,149.0
1908,208.0
1907,207.0
1906,206.0
1905,205.0
1902,202.0
1903,203.0
1904,204.0
1892,192.0
1891,191.0
1896,196.0
1895,195.0
1893,193.0
1901,201.0
1894,194.0
1897,197.0
1898,198.0
1900,200.0
1918,218.0
1899,199.0
1919,219.0
1917,217.0
1914,214.0
1909,209.0
1910,210.0
1911,211.0
1912,212.0
1913,213.0
1931,231.0
1930,230.0
1920,220.0
1921,221.0
1922,222.0
1923,223.0
1924,224.0
1925,225.0
1926,226.0
1927,227.0
1928,228.0
1929,229.0
1932,232.0
1933,233.0
1936,236.0
1935,235.0
1937,237.0
1934,234.0
1938,238.0
1939,239.0
1940,240.0
1941,241.0
1942,242.0
1943,243.0
1944,244.0
1945,245.0
1946,246.0
1948,248.0
1947,247.0
1950,250.0
1949,249.0
1951,251.0
1952,252.0
1954,254.0
1953,253.0
1958,258.0
1959,259.0
1961,261.0
1960,260.0
1957,257.0
1956,256.0
1955,255.0
1980,280.0
1982,282.0
1991,291.0
1992,292.0
1990,290.0
1985,285.0
1984,284.0
1983,283.0
1981,281.0
1978,278.0
1979,279.0
1962,262.0
1963,263.0
1964,264.0
1965,265.0
1970,270.0
1971,271.0
1966,266.0
1973,273.0
1972,272.0
1968,268.0
1967,267.0
1969,269.0
1974,274.0
1977,277.0
1976,276.0
1975,275.0
1986,286.0
1989,289.0
1988,288.0
1987,287.0
2010,310.0
2009,309.0
2018,318.0
2008,308.0
2007,307.0
2006,306.0
2005,305.0
2004,304.0
2002,302.0
2003,303.0
2019,319.0
2017,317.0
2016,316.0
2014,314.0
2015,315.0
2026,326.0
2013,313.0
2012,312.0
2011,311.0
2030,330.0
2029,329.0
2027,327.0
2028,328.0
2023,323.0
2024,324.0
2025,325.0
2020,320.0
2001,301.0
2021,321.0
2022,322.0
2042,342.0
2039,339.0
2038,338.0
2031,331.0
2032,332.0
2033,333.0
2034,334.0
2035,335.0
2036,336.0
2037,337.0
2040,340.0
2041,341.0
2043,343.0
420,344.0
2044,344.0
2045,345.0
2046,346.0
1998,298.0
2000,300.0
1999,299.0
1995,295.0
1994,294.0
1993,293.0
1996,296.0
1997,297.0
1089,547.0
1100,547.0
1090,547.0
1091,547.0
1092,547.0
1084,547.0
1093,547.0
1085,547.0
1086,547.0
1097,546.0
1096,546.0
1098,546.0
1099,546.0
1094,546.0
1095,546.0
1088,546.0
1087,546.0
763,542.0
762,542.0
761,542.0
760,542.0
776,541.0
775,541.0
777,541.0
774,541.0
773,541.0
772,541.0
778,541.0
883,541.0
770,540.0
771,540.0
769,540.0
768,540.0
575,558.0
577,558.0
578,558.0
579,558.0
1193,558.0
1194,558.0
1195,558.0
1196,558.0
1197,558.0
1198,558.0
1199,558.0
1200,558.0
1201,558.0
1202,558.0
1204,558.0
1205,558.0
1203,558.0
1147,557.0
1016,557.0
1149,557.0
766,557.0
1142,557.0
1146,557.0
1141,557.0
1148,557.0
1144,556.0
556,556.0
1145,556.0
1143,556.0
576,549.0
1135,549.0
1132,549.0
1134,549.0
1129,549.0
1131,549.0
1133,549.0
1127,549.0
1128,549.0
1130,549.0
1101,548.0
1102,548.0
1103,548.0
1104,548.0
1105,548.0
1106,548.0
1107,548.0
1108,548.0
1109,548.0
1110,548.0
1111,548.0
1112,548.0
1113,548.0
1114,548.0
1115,548.0
1116,548.0
1117,548.0
1118,550.0
1119,550.0
1120,550.0
1121,550.0
1122,550.0
1123,550.0
1124,550.0
1125,550.0
1126,550.0
1139,554.0
1140,554.0
1137,554.0
1136,554.0
1138,554.0
948,551.0
843,551.0
1150,551.0
1151,551.0
1152,551.0
1153,551.0
1154,552.0
1156,553.0
844,553.0
1155,553.0
1164,555.0
1163,555.0
1162,555.0
1160,555.0
1161,555.0
1159,555.0
1158,555.0
1157,555.0
829,560.0
580,560.0
555,560.0
582,560.0
581,560.0
701,559.0
700,559.0
699,559.0
884,537.0
885,537.0
889,537.0
888,537.0
886,537.0
868,537.0
867,537.0
887,537.0
787,535.0
786,535.0
785,535.0
784,535.0
901,535.0
788,536.0
791,536.0
796,534.0
795,534.0
794,533.0
792,533.0
789,533.0
793,533.0
890,532.0
891,532.0
710,531.0
906,531.0
709,528.0
708,528.0
707,528.0
705,527.0
920,527.0
704,527.0
702,527.0
703,527.0
711,526.0
712,526.0
919,526.0
798,529.0
713,529.0
15,530.0
8,530.0
10,530.0
11,530.0
30,530.0
799,521.0
732,521.0
733,521.0
907,521.0
625,519.0
623,519.0
626,519.0
624,519.0
24,519.0
627,520.0
628,520.0
908,522.0
909,522.0
910,522.0
730,523.0
731,523.0
911,523.0
729,524.0
916,524.0
728,524.0
622,685.0
630,685.0
617,683.0
618,683.0
846,683.0
914,684.0
915,684.0
621,686.0
619,686.0
631,687.0
620,687.0
878,687.0
917,525.0
918,525.0
714,525.0
718,681.0
719,681.0
720,681.0
717,681.0
614,682.0
615,682.0
847,682.0
613,682.0
616,682.0
1182,563.0
1183,563.0
813,563.0
554,563.0
814,563.0
815,563.0
816,563.0
1184,563.0
1185,563.0
1186,563.0
1187,563.0
1188,563.0
1189,563.0
1167,579.0
1165,579.0
1166,579.0
1174,578.0
1175,578.0
650,564.0
550,564.0
716,564.0
715,564.0
935,580.0
552,580.0
1176,577.0
1170,561.0
1168,561.0
1172,561.0
1171,561.0
1169,561.0
1173,561.0
584,562.0
583,562.0
723,566.0
557,566.0
1489,566.0
724,566.0
722,566.0
721,566.0
726,565.0
725,565.0
727,565.0
934,568.0
1192,568.0
597,573.0
594,573.0
593,573.0
931,571.0
596,572.0
595,572.0
1177,576.0
1178,576.0
1179,575.0
1180,575.0
1181,574.0
698,567.0
1190,567.0
1191,567.0
598,569.0
599,570.0
879,582.0
1061,582.0
1057,583.0
548,583.0
1059,583.0
547,583.0
1058,583.0
1056,584.0
1055,584.0
945,642.0
1064,642.0
1067,647.0
1070,647.0
836,650.0
1071,650.0
1072,650.0
1062,651.0
1063,651.0
819,653.0
807,653.0
806,653.0
1075,653.0
1076,653.0
1077,653.0
585,654.0
586,654.0
835,644.0
1066,644.0
1068,644.0
834,643.0
833,643.0
939,643.0
938,645.0
831,645.0
832,646.0
1069,646.0
937,649.0
1065,648.0
805,648.0
943,648.0
1073,652.0
1074,652.0
592,655.0
742,655.0
591,655.0
589,655.0
590,655.0
588,655.0
587,655.0
882,585.0
1060,585.0
936,581.0
1054,586.0
1053,586.0
944,588.0
1052,587.0
940,638.0
941,641.0
1049,639.0
1048,639.0
1051,640.0
1050,640.0
1027,593.0
1026,593.0
842,593.0
1041,592.0
551,592.0
1042,592.0
1040,591.0
881,591.0
1039,591.0
1038,591.0
1047,590.0
1035,595.0
1034,595.0
947,595.0
1036,594.0
1037,594.0
1024,596.0
1023,596.0
1025,597.0
1019,630.0
957,631.0
1013,631.0
820,632.0
1014,632.0
1015,632.0
1017,632.0
1028,633.0
1029,633.0
1030,633.0
1046,634.0
1045,634.0
1044,589.0
1043,589.0
1031,635.0
1033,636.0
1032,636.0
845,629.0
1018,629.0
1020,629.0
1022,637.0
946,637.0
