zone_id,SD,ZONE,COUNTY,AGREMPN,FPSEMPN,HEREMPN,RETEMPN,TOTEMP,MWTEMPN,OTHEMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,SHPOP62P,TOTHH,GQPOP,MFDU,SFDU,CIACRE_UNWEIGHTED,RESACRE_UNWEIGHTED,CIACRE,RESACRE,TOTACRE,HHPOP,TOTPOP,EMPRES,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,total_job_spaces,total_residential_units
1,1,1,1,17.0,23067,2581.0,177.0,29424.0,568.0,3014.0,7.0,15.0,14.0,15.0,0.238,51.0,10,60.0,1.0,9.14991145662,2.54006108887,15.0,1.0,20.3,84.0,94.0,39.0,3.0,6.0,30.0,28.0,27.0,29487.0,61.0
2,1,2,1,58.0,34907,5050.0,326.0,44770.0,591.0,3838.0,80.0,37.0,50.0,77.0,0.238,244.0,33,251.0,5.0,15.479452158,4.22332028081,24.4155465888,1.37742631057,31.1,395.0,428.0,168.0,11.0,28.0,136.0,128.0,125.0,44753.0,256.0
3,1,3,1,0.0,1475,916.0,79.0,2869.0,30.0,369.0,58.0,81.0,79.0,64.0,0.238,282.0,61,285.0,9.0,7.62122695076,1.79219463656,2.31799058504,1.0,14.7,457.0,518.0,220.0,14.0,34.0,164.0,156.0,150.0,2868.0,294.0
4,1,4,1,115.0,16965,3211.0,307.0,23633.0,998.0,2037.0,81.0,48.0,31.0,74.0,0.238,234.0,17,293.0,6.0,9.09633124488,2.92244595288,18.0,1.0,19.3,375.0,392.0,154.0,10.0,26.0,124.0,118.0,114.0,23624.0,299.0
5,1,5,1,5.0,7396,5243.0,1634.0,17338.0,320.0,2740.0,130.0,153.0,143.0,267.0,0.238,693.0,119,695.0,22.0,21.19556958,11.0111441987,15.0,1.09010139174,52.7,1120.0,1239.0,474.0,34.0,82.0,390.0,373.0,360.0,19017.0,717.0
6,1,6,1,1.0,1142,1814.0,124.0,4179.0,27.0,1071.0,580.0,722.0,535.0,663.0,0.142,2500.0,816,2557.0,0.0,7.16425801041,12.9139617752,8.0,7.36544108254,29.0,3748.0,4564.0,2139.0,77.0,230.0,2416.0,1034.0,807.0,4921.0,2557.0
7,1,7,1,1.0,5236,4642.0,216.0,13644.0,145.0,3404.0,981.0,1122.0,917.0,1063.0,0.191,4083.0,589,4174.0,0.0,13.7993203722,15.7452664395,14.0,13.0,45.0,6121.0,6710.0,3464.0,161.0,405.0,2627.0,1957.0,1560.0,17470.0,4174.0
8,1,8,1,6.0,1459,1700.0,281.0,4835.0,76.0,1313.0,2614.0,835.0,644.0,806.0,0.25,4899.0,2932,4941.0,19.0,10.7844246042,17.3406212849,15.0,8.4882523614,51.0,8203.0,11135.0,3824.0,352.0,811.0,2996.0,3604.0,3372.0,6055.0,4960.0
9,1,9,1,4.0,9208,8887.0,144.0,32659.0,361.0,14055.0,1508.0,1628.0,1304.0,1532.0,0.163,5972.0,848,6032.0,35.0,41.3558204592,22.9464167489,47.0,9.79331756595,112.0,10370.0,11218.0,4732.0,392.0,996.0,4792.0,2758.0,2280.0,33681.0,5939.0
10,1,10,1,2.0,3298,2869.0,155.0,11743.0,200.0,5219.0,2172.0,1320.0,1101.0,1458.0,0.148,6051.0,129,6107.0,5.0,24.5525379438,20.7633060805,35.0,11.6015580283,73.5,10571.0,10700.0,5431.0,265.0,836.0,4216.0,3591.0,1792.0,12115.0,4660.0
11,1,11,1,0.0,4432,2948.0,1612.0,11800.0,202.0,2606.0,1466.0,726.0,561.0,682.0,0.148,3435.0,207,3258.0,10.0,31.4140008312,16.0085273938,38.0,13.7434110015,81.0,6000.0,6207.0,3186.0,153.0,486.0,2446.0,2083.0,1039.0,12110.0,3268.0
12,1,12,1,15.0,7754,4739.0,411.0,18043.0,262.0,4862.0,198.0,226.0,218.0,274.0,0.09,916.0,12,1052.0,0.0,28.3643362507,7.83599763061,16.0,1.24529194213,53.3,1402.0,1414.0,962.0,10.0,16.0,788.0,480.0,120.0,18893.0,1052.0
13,1,13,1,6.0,16561,2301.0,492.0,20573.0,139.0,1074.0,139.0,37.0,46.0,70.0,0.09,292.0,12,338.0,0.0,13.2033649452,2.23914499823,19.7960946261,1.08816698368,26.5,452.0,464.0,314.0,3.0,5.0,259.0,157.0,40.0,20563.0,227.0
14,1,14,1,13.0,25744,3412.0,122.0,32901.0,1198.0,2412.0,127.0,103.0,139.0,197.0,0.09,566.0,8,613.0,0.0,17.2181177196,2.05479365666,27.3987313907,1.0,30.6,870.0,878.0,590.0,9.0,9.0,489.0,298.0,73.0,32888.0,483.0
15,1,15,1,7.0,12106,2075.0,112.0,17091.0,410.0,2381.0,25.0,63.0,65.0,142.0,0.09,295.0,60,319.0,0.0,10.4022482661,4.90677927723,14.0,3.0,28.5,453.0,513.0,329.0,4.0,6.0,285.0,174.0,44.0,17352.0,319.0
16,1,16,1,63.0,15283,5623.0,2086.0,29023.0,409.0,5559.0,2660.0,1656.0,1656.0,2733.0,0.076,8705.0,162,9405.0,15.0,35.8253973871,34.6583790115,72.0,18.2251297176,123.4,14529.0,14691.0,10646.0,284.0,371.0,9083.0,3860.0,1093.0,31837.0,6076.0
17,1,17,1,6.0,4447,2531.0,228.0,11321.0,262.0,3847.0,1049.0,931.0,998.0,1642.0,0.076,4620.0,522,4965.0,25.0,31.3973548566,44.4230158094,36.0,25.3702605669,152.3,7707.0,8229.0,5926.0,159.0,208.0,5087.0,2162.0,613.0,12583.0,4990.0
18,1,18,1,21.0,2328,1543.0,265.0,6739.0,360.0,2222.0,537.0,216.0,293.0,492.0,0.056,1538.0,456,1528.0,56.0,36.173294004,21.6331828977,50.0,2.73181845928,107.3,2572.0,3028.0,1763.0,48.0,189.0,1969.0,667.0,155.0,8129.0,1584.0
19,1,19,1,3.0,2891,1501.0,712.0,10822.0,694.0,5021.0,555.0,182.0,200.0,376.0,0.056,1313.0,277,1313.0,22.0,53.1323970201,23.2603557831,74.0,15.3895044301,125.4,2192.0,2469.0,1441.0,39.0,154.0,1605.0,544.0,127.0,11495.0,921.0
20,1,20,1,1.0,1241,1205.0,265.0,4093.0,318.0,1063.0,1070.0,506.0,438.0,558.0,0.394,2572.0,432,2472.0,97.0,33.1651252733,31.0366119354,35.0,16.3723230562,98.3,4351.0,4783.0,1984.0,77.0,202.0,1232.0,944.0,2328.0,4463.0,2569.0
21,1,21,1,1.0,3388,2098.0,301.0,8039.0,187.0,2064.0,1982.0,585.0,492.0,602.0,0.394,3661.0,514,3570.0,117.0,28.3918784622,22.506190441,44.0,15.3615105293,78.9,6196.0,6710.0,2812.0,108.0,283.0,1729.0,1325.0,3265.0,8239.0,3687.0
22,1,22,1,8.0,14721,3948.0,245.0,21978.0,368.0,2688.0,208.0,309.0,325.0,424.0,0.317,1266.0,24,1291.0,98.0,26.3225488575,16.6162143641,46.0,9.0,87.7,2048.0,2072.0,1164.0,25.0,34.0,456.0,784.0,773.0,22695.0,1389.0
23,1,23,1,2.0,6477,2107.0,198.0,11723.0,1076.0,1863.0,193.0,142.0,151.0,190.0,0.317,676.0,8,726.0,43.0,48.1093306815,11.1704302554,20.0,5.37028746832,90.8,1093.0,1101.0,625.0,13.0,18.0,243.0,416.0,411.0,11858.0,769.0
24,1,24,1,14.0,11150,2461.0,175.0,17911.0,457.0,3654.0,307.0,189.0,163.0,239.0,0.369,898.0,9,945.0,0.0,13.1748029792,10.0096319691,20.0,2.86332937587,39.0,1466.0,1475.0,507.0,36.0,54.0,251.0,488.0,646.0,18742.0,945.0
25,1,25,1,0.0,471,624.0,262.0,1891.0,61.0,473.0,353.0,422.0,376.0,535.0,0.41,1686.0,8,1591.0,131.0,2.88652142652,11.0981701354,4.0,4.04184603183,21.0,3759.0,3767.0,1294.0,95.0,353.0,560.0,883.0,1876.0,2276.0,1722.0
26,1,26,1,2.0,2658,789.0,125.0,4042.0,65.0,403.0,161.0,188.0,205.0,273.0,0.349,827.0,17,850.0,7.0,3.51864729969,5.60331320866,5.0,2.10541752259,13.0,1809.0,1826.0,671.0,45.0,157.0,378.0,462.0,784.0,4179.0,857.0
27,1,27,1,0.0,604,813.0,120.0,1991.0,24.0,430.0,489.0,394.0,338.0,448.0,0.369,1669.0,0,1582.0,68.0,4.90068924725,11.5490306179,6.0,8.10500908517,26.0,3511.0,3511.0,1499.0,85.0,300.0,690.0,847.0,1589.0,2332.0,1717.0
