zone_id,SD,ZONE,COUNTY,AGREMPN,FPSEMPN,HEREMPN,RETEMPN,TOTEMP,MWTEMPN,OTHEMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,SHPOP62P,TOTHH,GQPOP,MFDU,SFDU,CIACRE_UNWEIGHTED,RESACRE_UNWEIGHTED,CIACRE,RESACRE,TOTACRE,HHPOP,TOTPOP,EMPRES,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,total_job_spaces,total_residential_units
1,1,1,1,18.0,22672,2297.0,239.0,28729.0,746.0,2757.0,12.0,13.0,9.0,16.0,0.238,50.0,9,60.0,1.0,9.14991145662,2.54006108887,15.0,1.0,20.3,81.0,90.0,37.0,3.0,7.0,33.0,29.0,18.0,29487.0,61.0
2,1,2,1,63.0,34975,4643.0,464.0,44468.0,777.0,3546.0,45.0,33.0,28.0,36.0,0.238,142.0,28,147.0,5.0,15.8568784685,3.84589397024,24.7929728993,1.0,31.1,226.0,254.0,108.0,8.0,19.0,92.0,83.0,52.0,44877.0,152.0
3,1,3,1,0.0,1185,1000.0,105.0,2588.0,36.0,262.0,82.0,67.0,62.0,51.0,0.238,262.0,51,285.0,9.0,7.62122695076,1.79219463656,2.31799058504,1.0,14.7,418.0,469.0,209.0,15.0,36.0,169.0,154.0,95.0,2868.0,294.0
4,1,4,1,125.0,15519,3304.0,430.0,22857.0,1340.0,2139.0,39.0,53.0,34.0,35.0,0.238,161.0,14,210.0,6.0,9.09633124488,2.92244595288,18.0,1.0,19.3,254.0,268.0,119.0,8.0,21.0,97.0,87.0,55.0,23745.0,216.0
5,1,5,1,6.0,6162,5749.0,2262.0,16363.0,389.0,1795.0,184.0,170.0,114.0,164.0,0.238,632.0,101,671.0,22.0,21.2856709717,10.921042807,15.0,1.00000000002,52.7,1005.0,1106.0,469.0,36.0,85.0,397.0,364.0,224.0,19056.0,693.0
6,1,6,1,1.0,881,2108.0,148.0,4020.0,31.0,851.0,715.0,688.0,447.0,415.0,0.142,2265.0,689,2406.0,0.0,7.529699093,12.5485206927,8.0,7.0,29.0,3343.0,4032.0,2039.0,76.0,223.0,2308.0,952.0,473.0,5074.0,2406.0
7,1,7,1,1.0,6477,4999.0,257.0,13471.0,124.0,1613.0,1308.0,1085.0,755.0,774.0,0.191,3922.0,498,4174.0,0.0,13.7993203722,15.7452664395,14.0,13.0,45.0,5788.0,6286.0,3454.0,174.0,427.0,2731.0,1959.0,995.0,17470.0,4174.0
8,1,8,1,7.0,1576,1804.0,364.0,4721.0,67.0,903.0,2715.0,880.0,600.0,537.0,0.25,4732.0,2477,4898.0,19.0,10.9422549574,17.1827909317,15.0,8.3304220082,51.0,7800.0,10277.0,3698.0,386.0,870.0,3168.0,3668.0,2185.0,6081.0,4917.0
9,1,9,1,5.0,6922,9346.0,142.0,30925.0,381.0,14129.0,2152.0,1421.0,1124.0,1041.0,0.163,5738.0,716,6032.0,35.0,41.3558204592,22.9464167489,47.0,9.79331756595,112.0,9808.0,10524.0,4770.0,416.0,1037.0,4914.0,2723.0,1434.0,33681.0,5939.0
10,1,10,1,2.0,2567,2948.0,154.0,11020.0,235.0,5114.0,3037.0,904.0,737.0,707.0,0.148,5385.0,109,5663.0,5.0,24.7114091576,19.5384051593,35.0,10.3766571071,73.5,9260.0,9369.0,5117.0,260.0,803.0,3992.0,3274.0,1040.0,12159.0,4216.0
11,1,11,1,0.0,2734,2778.0,2331.0,10731.0,223.0,2665.0,1459.0,626.0,489.0,435.0,0.148,3009.0,175,2923.0,10.0,32.5687934652,14.8537347597,38.0,12.5886183674,81.0,5174.0,5349.0,2933.0,148.0,458.0,2279.0,1869.0,595.0,12433.0,2933.0
12,1,12,1,17.0,5980,5127.0,561.0,16481.0,297.0,4499.0,249.0,244.0,165.0,165.0,0.09,823.0,10,984.0,0.0,28.6096281929,7.59070568848,16.0,1.0,53.3,1240.0,1250.0,912.0,10.0,15.0,730.0,427.0,68.0,18966.0,984.0
13,1,13,1,6.0,15835,2445.0,821.0,20564.0,206.0,1251.0,206.0,4.0,10.0,16.0,0.09,236.0,10,273.0,0.0,13.2033649452,1.84077906752,19.7960946261,1.0,26.5,360.0,370.0,268.0,3.0,4.0,215.0,127.0,21.0,20563.0,162.0
