zone_id,SD,ZONE,COUNTY,AGREMPN,FPSEMPN,HEREMPN,RETEMPN,TOTEMP,MWTEMPN,OTHEMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,SHPOP62P,TOTHH,GQPOP,MFDU,SFDU,CIACRE_UNWEIGHTED,RESACRE_UNWEIGHTED,CIACRE,RESACRE,TOTACRE,HHPOP,TOTPOP,EMPRES,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,total_job_spaces,total_residential_units
1255,26,1255,6,0.0,46.0,245.0,90.0,482.0,19.0,82.0,319.0,492.0,447.0,454.0,0.122,1712.0,9,377.0,1399.0,18.7904602004,202.94162067,41.0,224.0,317.0,5320.0,5329.0,2578.0,349.0,1323.0,1737.0,1340.0,580.0,470.0,1776.0
1256,26,1256,6,0.0,75.0,100.0,77.0,673.0,129.0,292.0,406.0,475.0,402.0,407.0,0.192,1690.0,1,333.0,930.0,49.4153594238,659.392220228,39.0,704.0,945.0,4823.0,4824.0,2373.0,280.0,937.0,1411.0,1306.0,890.0,672.0,1767.0
1257,26,1257,6,1.0,75.0,333.0,143.0,711.0,18.0,141.0,541.0,597.0,557.0,502.0,0.14,2197.0,23,1082.0,1129.0,28.8754775649,264.518216436,32.0,310.0,477.0,6672.0,6695.0,2989.0,546.0,1411.0,2240.0,1624.0,874.0,682.0,2295.0
1258,26,1258,6,0.0,24.0,95.0,55.0,224.0,2.0,48.0,415.0,315.0,271.0,279.0,0.154,1280.0,7,806.0,477.0,18.0309281707,129.343571461,8.0,144.0,220.0,4098.0,4105.0,1586.0,358.0,930.0,1327.0,874.0,616.0,200.0,1342.0
1259,26,1259,6,1.0,63.0,399.0,149.0,876.0,57.0,207.0,569.0,454.0,369.0,356.0,0.187,1748.0,39,850.0,920.0,57.507545045,172.385667826,38.6707102244,151.692271009,326.0,5439.0,5478.0,1946.0,469.0,1071.0,1791.0,1115.0,1032.0,866.0,1849.0
1260,26,1260,6,0.0,73.0,444.0,62.0,771.0,26.0,166.0,338.0,308.0,281.0,284.0,0.131,1211.0,17,624.0,664.0,39.9320367057,112.925171051,39.0,114.74729556,198.0,4126.0,4143.0,1530.0,410.0,970.0,1454.0,777.0,532.0,768.0,1288.0
1261,26,1261,6,3.0,94.0,104.0,143.0,423.0,24.0,55.0,310.0,334.0,302.0,295.0,0.082,1241.0,0,1.0,1185.0,24.2510048448,136.900513479,50.0,135.0,330.0,4014.0,4014.0,2056.0,335.0,976.0,1532.0,906.0,265.0,403.0,1277.0
1262,26,1262,6,1.0,390.0,991.0,84.0,2518.0,103.0,949.0,330.0,148.0,150.0,152.0,0.111,780.0,0,474.0,321.0,50.8107137661,57.0378954331,57.0,76.2711523773,224.0,2106.0,2106.0,748.0,132.0,308.0,1052.0,392.0,222.0,2510.0,808.0
1263,26,1263,6,0.0,345.0,735.0,73.0,2623.0,132.0,1338.0,326.0,253.0,194.0,187.0,0.232,960.0,139,402.0,578.0,62.6077310659,111.779291189,37.0,118.0,271.0,2743.0,2882.0,1114.0,209.0,526.0,884.0,576.0,687.0,2598.0,985.0
1264,26,1264,6,0.0,182.0,409.0,219.0,1022.0,30.0,182.0,459.0,488.0,455.0,499.0,0.14,1901.0,98,1348.0,543.0,77.2203859494,173.752695456,65.0,190.0,379.0,5706.0,5804.0,2149.0,613.0,1111.0,2113.0,1175.0,792.0,996.0,1993.0
1265,26,1265,6,0.0,196.0,2251.0,1036.0,3804.0,45.0,276.0,375.0,312.0,275.0,272.0,0.179,1234.0,214,756.0,458.0,173.123501648,129.187932192,119.0,127.0,411.0,3766.0,3980.0,1721.0,334.0,826.0,1320.0,785.0,715.0,3798.0,1285.0
1266,26,1266,6,7.0,144.0,227.0,147.0,692.0,28.0,139.0,407.0,470.0,339.0,247.0,0.18,1463.0,124,12.0,1517.0,45.3821310894,196.403792058,44.0,174.207679468,348.0,4806.0,4930.0,2026.0,352.0,1149.0,1547.0,986.0,896.0,651.0,1531.0
1267,26,1267,6,3.0,75.0,459.0,196.0,978.0,27.0,218.0,179.0,274.0,356.0,463.0,0.171,1272.0,0,92.0,1222.0,40.8515292186,227.617136636,37.0,231.0,446.0,3381.0,3381.0,2007.0,152.0,653.0,834.0,1241.0,501.0,929.0,1314.0
1268,26,1268,6,45.0,308.0,851.0,382.0,1912.0,47.0,279.0,562.0,967.0,1044.0,1728.0,0.176,4301.0,37,138.0,3719.0,197.085505525,1362.42152972,53.3718315963,1374.74531282,8690.0,11510.0,11547.0,6829.0,693.0,2139.0,3117.0,3754.0,1844.0,1816.0,4440.0
1269,26,1269,6,0.0,464.0,1166.0,555.0,2724.0,294.0,245.0,991.0,864.0,876.0,1022.0,0.282,3753.0,139,278.0,2630.0,162.457739582,572.001818415,98.0000000003,478.0,2243.0,9521.0,9660.0,5181.0,460.0,1519.0,2528.0,2382.0,2771.0,2728.0,3867.0
1270,26,1270,6,11.0,431.0,859.0,491.0,4433.0,1501.0,1140.0,892.0,1215.0,1365.0,1824.0,0.128,5296.0,153,137.0,5073.0,454.540362913,1172.39137793,573.231134923,1214.41359669,8545.0,17189.0,17342.0,9096.0,967.0,3778.0,5575.0,5118.0,1904.0,5098.0,5557.0
1271,26,1271,6,1.0,149.0,447.0,260.0,1124.0,28.0,239.0,1063.0,1027.0,1167.0,1651.0,0.078,4908.0,0,243.0,4650.0,253.388759861,1150.5723714,325.0,1051.46698619,4587.0,15040.0,15040.0,7916.0,1288.0,3608.0,5756.0,3482.0,906.0,989.0,5144.0
1272,26,1272,6,1.0,74.0,479.0,9.0,1595.0,11.0,1021.0,0.0,0.0,0.0,0.0,0.066,0.0,9244,0.0,0.0,483.296120609,0.0,463.0,0.0,890.0,0.0,9244.0,3284.0,0.0,63.0,6687.0,2059.0,435.0,1599.0,0.0
