zone_id,SD,ZONE,COUNTY,AGREMPN,FPSEMPN,HEREMPN,RETEMPN,TOTEMP,MWTEMPN,OTHEMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,SHPOP62P,TOTHH,GQPOP,MFDU,SFDU,CIACRE_UNWEIGHTED,RESACRE_UNWEIGHTED,CIACRE,RESACRE,TOTACRE,HHPOP,TOTPOP,EMPRES,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,total_job_spaces,total_residential_units
1,1,1,1,18.0,22560.0,2213.0,255.0,28518.0,792.0,2680.0,13.0,13.0,12.0,10.0,0.238,48.0,8,60.0,1.0,9.14991145662,2.54006108887,15.0,1.0,20.3,78.0,86.0,39.0,3.0,7.0,32.0,29.0,15.0,29487.0,61.0
2,1,2,1,64.0,34668.0,4476.0,498.0,43948.0,819.0,3423.0,54.0,35.0,17.0,29.0,0.238,135.0,26,147.0,5.0,15.8568784685,3.84589397024,24.7929728993,1.0,31.1,215.0,241.0,104.0,8.0,19.0,90.0,81.0,43.0,44877.0,152.0
3,1,3,1,0.0,1087.0,1018.0,111.0,2483.0,37.0,230.0,102.0,65.0,48.0,38.0,0.238,253.0,49,285.0,9.0,7.62122695076,1.79219463656,2.31799058504,1.0,14.7,404.0,453.0,205.0,15.0,36.0,168.0,153.0,81.0,2868.0,294.0
4,1,4,1,126.0,15060.0,3323.0,461.0,22565.0,1428.0,2167.0,43.0,49.0,26.0,38.0,0.238,156.0,14,210.0,6.0,9.09633124488,2.92244595288,18.0,1.0,19.3,246.0,260.0,114.0,8.0,21.0,97.0,87.0,47.0,23745.0,216.0
5,1,5,1,5.0,5770.0,5880.0,2426.0,16006.0,407.0,1518.0,221.0,165.0,107.0,127.0,0.238,620.0,95,671.0,22.0,21.2856709717,10.921042807,15.0,1.00000000002,52.7,987.0,1082.0,474.0,37.0,87.0,400.0,364.0,194.0,19056.0,693.0
6,1,6,1,1.0,798.0,2186.0,154.0,3957.0,32.0,786.0,795.0,714.0,386.0,311.0,0.142,2206.0,652,2406.0,0.0,7.529699093,12.5485206927,8.0,7.0,29.0,3259.0,3911.0,2020.0,76.0,223.0,2280.0,932.0,400.0,5074.0,2406.0
7,1,7,1,1.0,6879.0,5090.0,267.0,13444.0,118.0,1089.0,1435.0,1061.0,636.0,605.0,0.191,3737.0,471,4174.0,0.0,13.7993203722,15.7452664395,14.0,13.0,45.0,5521.0,5992.0,3349.0,172.0,421.0,2669.0,1898.0,832.0,17470.0,4174.0
8,1,8,1,7.0,1614.0,1830.0,385.0,4683.0,64.0,783.0,2706.0,872.0,521.0,433.0,0.25,4532.0,2342,4898.0,19.0,10.9422549574,17.1827909317,15.0,8.3304220082,51.0,7478.0,9820.0,3565.0,385.0,868.0,3128.0,3592.0,1847.0,6081.0,4917.0
9,1,9,1,5.0,6192.0,9458.0,141.0,30322.0,386.0,14140.0,2625.0,1371.0,864.0,669.0,0.163,5529.0,677,6032.0,35.0,41.3558204592,22.9464167489,47.0,9.79331756595,112.0,9462.0,10139.0,4708.0,414.0,1031.0,4832.0,2655.0,1207.0,33681.0,5939.0
10,1,10,1,2.0,2334.0,2965.0,153.0,10777.0,244.0,5079.0,3843.0,588.0,465.0,418.0,0.148,5314.0,103,5663.0,5.0,24.7114091576,19.5384051593,35.0,10.3766571071,73.5,9148.0,9251.0,5118.0,264.0,816.0,4013.0,3263.0,895.0,12159.0,4216.0
11,1,11,1,0.0,2190.0,2726.0,2521.0,10345.0,228.0,2680.0,1485.0,622.0,459.0,353.0,0.148,2919.0,165,2923.0,10.0,32.5687934652,14.8537347597,38.0,12.5886183674,81.0,5024.0,5189.0,2893.0,148.0,458.0,2251.0,1830.0,502.0,12433.0,2933.0
12,1,12,1,16.0,5414.0,5227.0,600.0,15952.0,305.0,4390.0,237.0,249.0,167.0,140.0,0.09,793.0,10,984.0,0.0,28.6096281929,7.59070568848,16.0,1.0,53.3,1196.0,1206.0,895.0,10.0,15.0,711.0,413.0,57.0,18966.0,984.0
13,1,13,1,6.0,15121.0,2439.0,910.0,19983.0,223.0,1284.0,97.0,2.0,2.0,4.0,0.09,105.0,10,119.0,0.0,13.2033649452,1.73113356402,19.7960946261,1.0,26.5,160.0,170.0,125.0,1.0,2.0,101.0,58.0,8.0,20563.0,8.0
14,1,14,1,20.0,22858.0,3019.0,241.0,32887.0,2579.0,4170.0,174.0,104.0,87.0,125.0,0.09,490.0,6,552.0,0.0,17.2181177196,1.85164391462,27.3987313907,1.0,30.6,743.0,749.0,541.0,8.0,8.0,441.0,257.0,35.0,32888.0,422.0
15,1,15,1,8.0,10364.0,2133.0,160.0,15762.0,553.0,2544.0,48.0,60.0,61.0,120.0,0.09,289.0,48,319.0,0.0,10.4022482661,4.90677927723,14.0,3.0,28.5,437.0,485.0,335.0,4.0,6.0,285.0,166.0,24.0,17352.0,319.0
16,1,16,1,73.0,9742.0,5276.0,3370.0,23313.0,466.0,4386.0,4449.0,512.0,483.0,689.0,0.076,6133.0,129,6720.0,15.0,37.4728181629,30.1657197762,72.0,13.7324704823,123.4,10087.0,10216.0,8055.0,217.0,277.0,6618.0,2685.0,419.0,30362.0,3936.0
17,1,17,1,7.0,3623.0,1487.0,309.0,9950.0,256.0,4268.0,1272.0,681.0,789.0,1306.0,0.076,4048.0,417,4532.0,25.0,32.5964101502,42.8979332935,36.0,23.845178051,152.3,6654.0,7071.0,5402.0,150.0,192.0,4581.0,1858.0,290.0,12891.0,4557.0
18,1,18,1,25.0,2182.0,1078.0,352.0,6666.0,460.0,2569.0,196.0,255.0,222.0,356.0,0.056,1029.0,364,1087.0,56.0,36.6335240821,21.0007725946,50.0,2.09940815624,107.3,1696.0,2060.0,1272.0,35.0,136.0,1385.0,447.0,57.0,8196.0,1143.0
19,1,19,1,3.0,2539.0,877.0,1018.0,10178.0,937.0,4804.0,519.0,100.0,79.0,147.0,0.056,845.0,221,863.0,22.0,53.8700551228,22.0703114179,74.0,14.1994600649,125.4,1390.0,1611.0,1017.0,27.0,107.0,1082.0,350.0,45.0,11605.0,471.0
20,1,20,1,1.0,910.0,1058.0,279.0,3580.0,407.0,925.0,1078.0,430.0,262.0,220.0,0.394,1990.0,345,2019.0,97.0,33.3522752413,30.0178779796,35.0,15.3535891004,98.3,3317.0,3662.0,1669.0,81.0,208.0,1238.0,906.0,1229.0,4441.0,2116.0
21,1,21,1,1.0,2526.0,1847.0,399.0,7223.0,214.0,2236.0,2180.0,505.0,359.0,386.0,0.394,3430.0,410,3520.0,117.0,28.5206368898,22.3341049241,44.0,15.1894250124,78.9,5720.0,6130.0,2754.0,136.0,348.0,2073.0,1517.0,2056.0,8254.0,3637.0
22,1,22,1,9.0,14278.0,4224.0,358.0,20793.0,445.0,1479.0,239.0,282.0,261.0,384.0,0.317,1166.0,19,1291.0,98.0,26.3225488575,16.6162143641,46.0,9.0,87.7,1859.0,1878.0,1109.0,29.0,39.0,513.0,841.0,456.0,22695.0,1389.0
23,1,23,1,2.0,5680.0,1650.0,258.0,10969.0,1441.0,1938.0,195.0,121.0,99.0,143.0,0.317,558.0,6,628.0,43.0,49.0666215131,10.2131394238,20.0,4.41299663674,90.8,889.0,895.0,536.0,14.0,19.0,245.0,400.0,217.0,12010.0,671.0
24,1,24,1,15.0,10439.0,2167.0,220.0,16887.0,623.0,3423.0,283.0,163.0,65.0,100.0,0.369,611.0,7,669.0,0.0,14.0381323551,9.14630259319,20.403578318,2.0,39.0,983.0,990.0,359.0,32.0,48.0,216.0,401.0,293.0,19216.0,669.0
25,1,25,1,0.0,384.0,693.0,347.0,1772.0,82.0,266.0,706.0,368.0,247.0,208.0,0.41,1529.0,6,1553.0,131.0,2.92836745836,11.0563241036,4.0,4.0,21.0,3360.0,3366.0,1222.0,117.0,428.0,661.0,997.0,1163.0,2302.0,1684.0
26,1,26,1,3.0,2614.0,779.0,152.0,3927.0,97.0,282.0,300.0,185.0,146.0,107.0,0.349,738.0,14,793.0,7.0,3.62406482228,5.49789568607,5.0,2.0,13.0,1591.0,1605.0,674.0,52.0,179.0,423.0,492.0,459.0,4258.0,800.0
27,1,27,1,0.0,249.0,919.0,151.0,1721.0,32.0,370.0,599.0,378.0,240.0,300.0,0.369,1517.0,0,1542.0,68.0,5.00569833245,11.4440215327,6.0,8.0,26.0,3145.0,3145.0,1447.0,102.0,355.0,795.0,932.0,961.0,2365.0,1677.0
28,1,28,1,1.0,290.0,186.0,34.0,674.0,13.0,150.0,472.0,481.0,370.0,617.0,0.269,1940.0,2,2332.0,0.0,7.55836048091,20.4952438485,5.0,20.0,44.0,3455.0,3457.0,2345.0,115.0,167.0,1371.0,1078.0,726.0,889.0,2332.0
29,1,29,1,1.0,403.0,2600.0,36.0,3316.0,11.0,265.0,949.0,969.0,708.0,605.0,0.184,3231.0,348,3692.0,0.0,6.07797124687,19.1817467215,4.0,15.0,37.0,4920.0,5268.0,3305.0,108.0,226.0,2702.0,1524.0,708.0,4479.0,3692.0
30,1,30,1,1.0,343.0,855.0,127.0,2287.0,57.0,904.0,1434.0,1183.0,798.0,674.0,0.139,4089.0,560,4539.0,0.0,9.18419620514,19.0436647601,10.0,14.0,46.0,6922.0,7482.0,4175.0,336.0,682.0,3770.0,1970.0,724.0,2926.0,4539.0
31,1,31,1,0.0,1097.0,1123.0,70.0,2526.0,36.0,200.0,1038.0,744.0,464.0,427.0,0.171,2673.0,86,2928.0,10.0,4.50024902797,14.6094963072,9.0,8.53555266536,32.0,3970.0,4056.0,2453.0,133.0,252.0,2096.0,1063.0,512.0,3156.0,2938.0
32,1,32,1,0.0,634.0,1724.0,209.0,3016.0,69.0,380.0,981.0,958.0,532.0,620.0,0.212,3091.0,24,3269.0,120.0,10.5632935717,28.0543848166,13.0,21.0,58.0,5212.0,5236.0,3727.0,124.0,375.0,2463.0,1423.0,851.0,3858.0,3389.0
33,1,33,1,0.0,378.0,678.0,211.0,2233.0,132.0,834.0,931.0,702.0,544.0,600.0,0.206,2777.0,11,2803.0,127.0,6.27698909035,31.3025167584,9.0,24.022609254,59.0,5446.0,5457.0,3526.0,163.0,436.0,2540.0,1461.0,857.0,2865.0,2930.0
34,1,34,1,0.0,147.0,276.0,222.0,766.0,24.0,97.0,688.0,655.0,567.0,853.0,0.22,2763.0,1,2914.0,0.0,2.77119176329,36.2870287908,4.0,29.0,60.0,4577.0,4578.0,3253.0,104.0,174.0,2380.0,1134.0,786.0,1012.0,2914.0
35,1,35,1,0.0,158.0,106.0,62.0,400.0,27.0,47.0,580.0,630.0,481.0,697.0,0.236,2388.0,0,2612.0,111.0,1.90966431542,34.4371292717,2.0,30.0,58.0,4712.0,4712.0,2976.0,165.0,435.0,1939.0,1309.0,864.0,475.0,2723.0
36,1,36,1,0.0,470.0,1053.0,285.0,2922.0,96.0,1018.0,1248.0,668.0,416.0,486.0,0.38,2818.0,0,2963.0,66.0,6.41343733599,21.2836735949,7.0,14.0,47.0,5716.0,5716.0,2214.0,199.0,540.0,1480.0,1682.0,1815.0,3792.0,3029.0
37,1,37,1,0.0,1500.0,962.0,177.0,3225.0,196.0,390.0,713.0,591.0,433.0,376.0,0.223,2113.0,1,2231.0,57.0,6.88768784477,20.8518304083,8.0,12.0,43.0,4112.0,4113.0,2512.0,140.0,400.0,1585.0,1297.0,691.0,3784.0,2288.0
38,1,38,1,0.0,1103.0,345.0,309.0,2572.0,65.0,750.0,631.0,638.0,636.0,680.0,0.201,2585.0,15,2845.0,47.0,10.4802789679,40.6083740064,6.0,37.0,83.0,4761.0,4776.0,3346.0,181.0,307.0,2073.0,1512.0,703.0,3131.0,2892.0
39,1,39,1,0.0,114.0,77.0,86.0,366.0,6.0,83.0,494.0,560.0,516.0,558.0,0.238,2128.0,0,2190.0,151.0,5.31625914073,36.0280685762,6.0,31.0,67.0,4077.0,4077.0,2454.0,160.0,285.0,1709.0,1171.0,752.0,413.0,2341.0
40,1,40,1,2.0,612.0,1908.0,1028.0,5461.0,1336.0,575.0,711.0,725.0,543.0,774.0,0.217,2753.0,5,2972.0,0.0,38.0579360684,50.2343221898,28.0,43.0,128.0,4512.0,4517.0,3155.0,125.0,139.0,2207.0,1303.0,743.0,7349.0,2972.0
41,1,41,1,1.0,3806.0,6148.0,791.0,13350.0,1056.0,1548.0,861.0,412.0,387.0,466.0,0.237,2126.0,15,2157.0,111.0,88.6053794817,36.5030893952,90.0,20.0,183.0,3818.0,3833.0,2173.0,99.0,264.0,1751.0,1004.0,715.0,16867.0,2268.0
42,1,42,1,1.0,211.0,331.0,4.0,1158.0,40.0,571.0,2981.0,235.0,220.0,344.0,0.019,3780.0,0,3722.0,144.0,157.048464139,66.5836094047,484.0,147.445880669,628.0,12669.0,12669.0,6918.0,472.0,1789.0,8995.0,1336.0,77.0,1157.0,1946.0
43,2,43,1,2.0,388.0,924.0,314.0,2528.0,56.0,844.0,676.0,844.0,747.0,1187.0,0.184,3454.0,17,3160.0,411.0,106.070562081,62.4872401968,5.00000000048,57.0,199.0,5644.0,5661.0,4045.0,209.0,168.0,3219.0,1263.0,802.0,2584.0,3571.0
44,2,44,1,0.0,617.0,850.0,135.0,1768.0,34.0,132.0,893.0,1075.0,789.0,1083.0,0.176,3840.0,86,3719.0,198.0,26.2734167739,61.496489613,14.0,56.0,136.0,6316.0,6402.0,4758.0,144.0,189.0,3867.0,1329.0,873.0,1805.0,3917.0
45,2,45,1,1.0,926.0,1073.0,487.0,4076.0,135.0,1454.0,559.0,593.0,561.0,891.0,0.162,2604.0,0,2579.0,127.0,6.76859063683,54.4961241194,15.0,40.1928569464,93.0,4405.0,4405.0,3441.0,144.0,153.0,2467.0,1120.0,521.0,4478.0,2706.0
46,2,46,1,0.0,457.0,695.0,103.0,1606.0,37.0,314.0,1102.0,1112.0,891.0,1210.0,0.181,4315.0,115,4441.0,80.0,15.9911555682,53.4822432678,8.0,42.1907120378,102.0,6928.0,7043.0,5161.0,180.0,266.0,3748.0,1908.0,941.0,1714.0,4521.0
47,2,47,1,1.0,541.0,3692.0,270.0,5552.0,71.0,977.0,614.0,420.0,361.0,561.0,0.184,1956.0,32,2058.0,18.0,8.9062403905,29.6217918127,11.0,24.2835636844,56.0,3068.0,3100.0,2179.0,118.0,114.0,1545.0,906.0,417.0,5984.0,1860.0
48,2,48,1,5.0,210.0,508.0,133.0,973.0,17.0,100.0,457.0,549.0,436.0,683.0,0.147,2125.0,47,1996.0,185.0,2.5066155186,45.8963585339,4.0,40.0,88.0,3847.0,3894.0,2836.0,167.0,202.0,2062.0,1062.0,401.0,997.0,2181.0
49,2,49,1,14.0,338.0,351.0,82.0,899.0,7.0,107.0,489.0,492.0,444.0,1026.0,0.186,2451.0,30,2167.0,432.0,5.18552337359,83.4711390751,6.0,76.0,135.0,4518.0,4548.0,3287.0,242.0,367.0,1840.0,1496.0,603.0,906.0,2599.0
50,2,50,1,1.0,448.0,1259.0,305.0,2984.0,65.0,906.0,392.0,543.0,496.0,1117.0,0.192,2548.0,3,2300.0,333.0,11.2516213258,67.439097739,12.0,59.0,121.0,4459.0,4462.0,3426.0,206.0,251.0,2182.0,1179.0,644.0,3199.0,2633.0
51,2,51,1,2.0,192.0,111.0,67.0,458.0,8.0,78.0,406.0,558.0,499.0,767.0,0.178,2230.0,11,2039.0,247.0,18.7828977538,48.8377220918,15.0,46.0,107.0,3731.0,3742.0,2689.0,184.0,130.0,2070.0,852.0,506.0,435.0,2286.0
52,2,52,1,8.0,898.0,448.0,15.0,2760.0,279.0,1112.0,132.0,184.0,239.0,366.0,0.022,921.0,10,842.0,111.0,0.0,1507.42949434,280.0,57.0,1491.0,2698.0,2708.0,1786.0,226.0,323.0,1828.0,307.0,24.0,3253.0,953.0
53,2,53,1,26.0,69.0,1299.0,14.0,3750.0,9.0,2333.0,15.0,17.0,13.0,3.0,0.043,48.0,132,50.0,0.0,1026.53839522,0.164392683082,13.0,5.0,1097.0,62.0,194.0,71.0,2.0,5.0,135.0,50.0,2.0,3751.0,50.0
54,2,54,1,0.0,204.0,461.0,374.0,1137.0,16.0,82.0,629.0,700.0,704.0,741.0,0.225,2774.0,82,1631.0,1278.0,9.18323893722,104.504908879,4.0,105.0,257.0,6618.0,6700.0,4070.0,269.0,776.0,2490.0,2016.0,1149.0,1136.0,2909.0
55,2,55,1,3.0,92.0,68.0,115.0,859.0,2.0,579.0,373.0,454.0,386.0,381.0,0.215,1594.0,0,813.0,827.0,0.971661668212,59.1287569376,1.0,58.0,97.0,3766.0,3766.0,2112.0,186.0,439.0,1352.0,1181.0,608.0,868.0,1640.0
56,2,56,1,0.0,19.0,221.0,6.0,560.0,1.0,313.0,11.0,21.0,13.0,20.0,0.452,65.0,201,53.0,15.0,255.949248569,2.04015354754,157.0,2.0,250.0,136.0,337.0,235.0,6.0,21.0,75.0,105.0,130.0,613.0,68.0
57,2,57,1,4.0,139.0,147.0,55.0,385.0,10.0,30.0,138.0,181.0,164.0,495.0,0.235,978.0,0,271.0,742.0,7.98907065824,83.5119936242,3.0,80.0,137.0,2507.0,2507.0,1577.0,204.0,384.0,610.0,867.0,442.0,355.0,1013.0
58,2,58,1,0.0,108.0,424.0,277.0,941.0,12.0,120.0,693.0,662.0,596.0,568.0,0.206,2519.0,32,2239.0,345.0,8.96665389266,58.9890481206,11.0,54.0,104.0,5714.0,5746.0,3459.0,224.0,711.0,2284.0,1636.0,891.0,982.0,2584.0
59,2,59,1,0.0,180.0,551.0,163.0,1164.0,21.0,249.0,768.0,918.0,776.0,834.0,0.225,3296.0,80,1916.0,1494.0,20.0581395107,117.386446285,21.0,110.0,200.0,8046.0,8126.0,4851.0,343.0,983.0,2974.0,2431.0,1395.0,1187.0,3410.0
60,2,60,1,3.0,34.0,77.0,60.0,222.0,15.0,33.0,381.0,457.0,345.0,438.0,0.222,1621.0,1,949.0,731.0,3.14177835944,56.0699978368,2.0,55.0,87.0,4017.0,4018.0,2433.0,191.0,470.0,1558.0,1112.0,687.0,203.0,1680.0
